"origin_date","horizon","target_end_date","output_type_id","value","output_type","target","location"
2024-11-06,1,2024-11-03,0.35,274,"quantile","ILI incidence","FR"
2024-11-06,1,2024-11-03,0.4,276,"quantile","ILI incidence","FR"
2024-11-06,1,2024-11-03,0.45,278,"quantile","ILI incidence","FR"
2024-11-06,1,2024-11-03,0.5,279.5,"quantile","ILI incidence","FR"
2024-11-06,1,2024-11-03,0.55,282.45,"quantile","ILI incidence","FR"
2024-11-06,1,2024-11-03,0.6,286.4,"quantile","ILI incidence","FR"
2024-11-06,1,2024-11-03,0.65,290,"quantile","ILI incidence","FR"
2024-11-06,1,2024-11-03,0.7,293.3,"quantile","ILI incidence","FR"
2024-11-06,1,2024-11-03,0.75,297.25,"quantile","ILI incidence","FR"
2024-11-06,1,2024-11-03,0.8,300.2,"quantile","ILI incidence","FR"
2024-11-06,1,2024-11-03,0.85,303.3,"quantile","ILI incidence","FR"
2024-11-06,1,2024-11-03,0.9,313,"quantile","ILI incidence","FR"
2024-11-06,1,2024-11-03,0.95,321.05,"quantile","ILI incidence","FR"
2024-11-06,1,2024-11-03,0.975,325.525,"quantile","ILI incidence","FR"
2024-11-06,1,2024-11-03,0.99,338.09,"quantile","ILI incidence","FR"
2024-11-06,1,2024-11-03,0.01,937.97,"quantile","ILI incidence","GR"
2024-11-06,1,2024-11-03,0.025,945.85,"quantile","ILI incidence","GR"
2024-11-06,1,2024-11-03,0.05,961.7,"quantile","ILI incidence","GR"
2024-11-06,1,2024-11-03,0.1,974.7,"quantile","ILI incidence","GR"
2024-11-06,1,2024-11-03,0.15,981.85,"quantile","ILI incidence","GR"
2024-11-06,1,2024-11-03,0.2,988.4,"quantile","ILI incidence","GR"
2024-11-06,1,2024-11-03,0.25,996.75,"quantile","ILI incidence","GR"
2024-11-06,1,2024-11-03,0.3,1000,"quantile","ILI incidence","GR"
2024-11-06,1,2024-11-03,0.35,1006.3,"quantile","ILI incidence","GR"
2024-11-06,1,2024-11-03,0.4,1009.6,"quantile","ILI incidence","GR"
2024-11-06,1,2024-11-03,0.45,1013.55,"quantile","ILI incidence","GR"
2024-11-06,1,2024-11-03,0.5,1015.5,"quantile","ILI incidence","GR"
2024-11-06,1,2024-11-03,0.55,1020,"quantile","ILI incidence","GR"
2024-11-06,1,2024-11-03,0.6,1022.4,"quantile","ILI incidence","GR"
2024-11-06,1,2024-11-03,0.65,1028,"quantile","ILI incidence","GR"
2024-11-06,1,2024-11-03,0.7,1031,"quantile","ILI incidence","GR"
2024-11-06,1,2024-11-03,0.75,1033,"quantile","ILI incidence","GR"
2024-11-06,1,2024-11-03,0.8,1039.2,"quantile","ILI incidence","GR"
2024-11-06,1,2024-11-03,0.85,1044.15,"quantile","ILI incidence","GR"
2024-11-06,1,2024-11-03,0.9,1050.2,"quantile","ILI incidence","GR"
2024-11-06,1,2024-11-03,0.95,1061.2,"quantile","ILI incidence","GR"
2024-11-06,1,2024-11-03,0.975,1072.525,"quantile","ILI incidence","GR"
2024-11-06,1,2024-11-03,0.99,1074.08,"quantile","ILI incidence","GR"
2024-11-06,1,2024-11-03,0.01,262.91,"quantile","ILI incidence","HU"
2024-11-06,1,2024-11-03,0.025,263.95,"quantile","ILI incidence","HU"
2024-11-06,1,2024-11-03,0.05,271.8,"quantile","ILI incidence","HU"
2024-11-06,1,2024-11-03,0.1,274,"quantile","ILI incidence","HU"
2024-11-06,1,2024-11-03,0.15,278,"quantile","ILI incidence","HU"
2024-11-06,1,2024-11-03,0.2,282,"quantile","ILI incidence","HU"
2024-11-06,1,2024-11-03,0.25,283.75,"quantile","ILI incidence","HU"
2024-11-06,1,2024-11-03,0.3,286.7,"quantile","ILI incidence","HU"
2024-11-06,1,2024-11-03,0.35,288.65,"quantile","ILI incidence","HU"
2024-11-06,1,2024-11-03,0.4,290,"quantile","ILI incidence","HU"
2024-11-06,1,2024-11-03,0.45,293,"quantile","ILI incidence","HU"
2024-11-06,1,2024-11-03,0.5,296,"quantile","ILI incidence","HU"
2024-11-06,1,2024-11-03,0.55,298.45,"quantile","ILI incidence","HU"
2024-11-06,1,2024-11-03,0.6,300,"quantile","ILI incidence","HU"
2024-11-06,1,2024-11-03,0.65,303,"quantile","ILI incidence","HU"
2024-11-06,1,2024-11-03,0.7,304,"quantile","ILI incidence","HU"
2024-11-06,1,2024-11-03,0.75,307,"quantile","ILI incidence","HU"
2024-11-06,1,2024-11-03,0.8,309,"quantile","ILI incidence","HU"
2024-11-06,1,2024-11-03,0.85,311,"quantile","ILI incidence","HU"
2024-11-06,1,2024-11-03,0.9,316,"quantile","ILI incidence","HU"
2024-11-06,1,2024-11-03,0.95,327.05,"quantile","ILI incidence","HU"
2024-11-06,1,2024-11-03,0.975,331.1,"quantile","ILI incidence","HU"
2024-11-06,1,2024-11-03,0.99,335.02,"quantile","ILI incidence","HU"
2024-11-06,1,2024-11-03,0.01,1.99,"quantile","ILI incidence","IE"
