target,location,target_end_date,horizon,output_type,output_type_id,value,origin_date
ILI incidence,LT,2024-11-10,4,quantile,0.75,4.767722010059579,2024-10-23
ILI incidence,LT,2024-10-20,1,quantile,0.8,2.3158736916151152,2024-10-23
ILI incidence,LT,2024-10-27,2,quantile,0.8,3.3659790156637435,2024-10-23
ILI incidence,LT,2024-11-03,3,quantile,0.8,4.327749356357252,2024-10-23
ILI incidence,LT,2024-11-10,4,quantile,0.8,4.873985501294735,2024-10-23
ILI incidence,LT,2024-10-20,1,quantile,0.85,2.3539510570517574,2024-10-23
ILI incidence,LT,2024-10-27,2,quantile,0.85,3.4383329787319465,2024-10-23
ILI incidence,LT,2024-11-03,3,quantile,0.85,4.395067947057659,2024-10-23
ILI incidence,LT,2024-11-10,4,quantile,0.85,4.992838335423256,2024-10-23
ILI incidence,LT,2024-10-20,1,quantile,0.9,2.4212171012219676,2024-10-23
ILI incidence,LT,2024-10-27,2,quantile,0.9,3.7865185901583422,2024-10-23
ILI incidence,LT,2024-11-03,3,quantile,0.9,4.497407297099304,2024-10-23
ILI incidence,LT,2024-11-10,4,quantile,0.9,5.064393956006439,2024-10-23
ILI incidence,LT,2024-10-20,1,quantile,0.95,2.9870768596253416,2024-10-23
ILI incidence,LT,2024-10-27,2,quantile,0.95,3.927981735319994,2024-10-23
ILI incidence,LT,2024-11-03,3,quantile,0.95,4.785630802974347,2024-10-23
ILI incidence,LT,2024-11-10,4,quantile,0.95,5.265124315630654,2024-10-23
ILI incidence,LT,2024-10-20,1,quantile,0.975,3.1156365648142654,2024-10-23
ILI incidence,LT,2024-10-27,2,quantile,0.975,4.599877815981725,2024-10-23
ILI incidence,LT,2024-11-03,3,quantile,0.975,4.957829528600097,2024-10-23
ILI incidence,LT,2024-11-10,4,quantile,0.975,5.483790652592738,2024-10-23
ILI incidence,LT,2024-10-20,1,quantile,0.99,3.1975989104534293,2024-10-23
ILI incidence,LT,2024-10-27,2,quantile,0.99,4.67429245282078,2024-10-23
ILI incidence,LT,2024-11-03,3,quantile,0.99,5.090543894308817,2024-10-23
ILI incidence,LT,2024-11-10,4,quantile,0.99,5.7411830167988045,2024-10-23
ILI incidence,LT,2024-10-20,1,median,,2.1765222808588636,2024-10-23
ILI incidence,LT,2024-10-27,2,median,,2.911394146800785,2024-10-23
ILI incidence,LT,2024-11-03,3,median,,3.7594831720552397,2024-10-23
ILI incidence,LT,2024-11-10,4,median,,4.463533061908727,2024-10-23
ILI incidence,LU,2024-10-20,1,quantile,0.01,558.4733866364555,2024-10-23
ILI incidence,LU,2024-10-27,2,quantile,0.01,182.9072266916677,2024-10-23
ILI incidence,LU,2024-11-03,3,quantile,0.01,235.25834683625604,2024-10-23
ILI incidence,LU,2024-11-10,4,quantile,0.01,206.47307593725984,2024-10-23
ILI incidence,LU,2024-10-20,1,quantile,0.025,569.4407206472521,2024-10-23
ILI incidence,LU,2024-10-27,2,quantile,0.025,530.4903613411396,2024-10-23
ILI incidence,LU,2024-11-03,3,quantile,0.025,299.3719076746891,2024-10-23
ILI incidence,LU,2024-11-10,4,quantile,0.025,244.0790180329499,2024-10-23
ILI incidence,LU,2024-10-20,1,quantile,0.05,856.0815069547325,2024-10-23
ILI incidence,LU,2024-10-27,2,quantile,0.05,551.4596647994964,2024-10-23
ILI incidence,LU,2024-11-03,3,quantile,0.05,406.54412051117623,2024-10-23
ILI incidence,LU,2024-11-10,4,quantile,0.05,305.86094111579706,2024-10-23
ILI incidence,LU,2024-10-20,1,quantile,0.1,1011.6454767602271,2024-10-23
ILI incidence,LU,2024-10-27,2,quantile,0.1,564.3711501687865,2024-10-23
ILI incidence,LU,2024-11-03,3,quantile,0.1,410.24895627822355,2024-10-23
ILI incidence,LU,2024-11-10,4,quantile,0.1,591.4313042703445,2024-10-23
ILI incidence,LU,2024-10-20,1,quantile,0.15,1455.1358701435342,2024-10-23
ILI incidence,LU,2024-10-27,2,quantile,0.15,765.7394499906916,2024-10-23
ILI incidence,LU,2024-11-03,3,quantile,0.15,429.131933945602,2024-10-23
ILI incidence,LU,2024-11-10,4,quantile,0.15,644.4787112583772,2024-10-23
ILI incidence,LU,2024-10-20,1,quantile,0.2,1507.2764207276398,2024-10-23
ILI incidence,LU,2024-10-27,2,quantile,0.2,827.7524322959765,2024-10-23
ILI incidence,LU,2024-11-03,3,quantile,0.2,489.78751014646525,2024-10-23
ILI incidence,LU,2024-11-10,4,quantile,0.2,711.7326136692985,2024-10-23
ILI incidence,LU,2024-10-20,1,quantile,0.25,1544.0540453203043,2024-10-23
ILI incidence,LU,2024-10-27,2,quantile,0.25,884.7949864751304,2024-10-23
ILI incidence,LU,2024-11-03,3,quantile,0.25,549.0946181066214,2024-10-23
ILI incidence,LU,2024-11-10,4,quantile,0.25,776.2618534575156,2024-10-23
ILI incidence,LU,2024-10-20,1,quantile,0.3,1583.7826510801947,2024-10-23
ILI incidence,LU,2024-10-27,2,quantile,0.3,943.6304466357279,2024-10-23
ILI incidence,LU,2024-11-03,3,quantile,0.3,600.130082870718,2024-10-23
ILI incidence,LU,2024-11-10,4,quantile,0.3,826.5654973195326,2024-10-23
ILI incidence,LU,2024-10-20,1,quantile,0.35,1614.2525392539665,2024-10-23
ILI incidence,LU,2024-10-27,2,quantile,0.35,992.8239005965996,2024-10-23
ILI incidence,LU,2024-11-03,3,quantile,0.35,636.4081761209733,2024-10-23
ILI incidence,LU,2024-11-10,4,quantile,0.35,866.5764774838397,2024-10-23
ILI incidence,LU,2024-10-20,1,quantile,0.4,1664.8720657240042,2024-10-23
ILI incidence,LU,2024-10-27,2,quantile,0.4,1063.955922176648,2024-10-23
ILI incidence,LU,2024-11-03,3,quantile,0.4,650.2797551764799,2024-10-23
ILI incidence,LU,2024-11-10,4,quantile,0.4,897.043375210265,2024-10-23
ILI incidence,LU,2024-10-20,1,quantile,0.45,1701.7177381356198,2024-10-23
ILI incidence,LU,2024-10-27,2,quantile,0.45,1115.2105303739497,2024-10-23
ILI incidence,LU,2024-11-03,3,quantile,0.45,672.6849868894551,2024-10-23
ILI incidence,LU,2024-11-10,4,quantile,0.45,917.5181474128118,2024-10-23
ILI incidence,LU,2024-10-20,1,quantile,0.5,1736.793333258915,2024-10-23
ILI incidence,LU,2024-10-27,2,quantile,0.5,1154.6994475481997,2024-10-23
ILI incidence,LU,2024-11-03,3,quantile,0.5,708.1908279866059,2024-10-23
ILI incidence,LU,2024-11-10,4,quantile,0.5,939.8835931784487,2024-10-23
ILI incidence,LU,2024-10-20,1,quantile,0.55,1784.3278665910457,2024-10-23
ILI incidence,LU,2024-10-27,2,quantile,0.55,1195.2844803370513,2024-10-23
ILI incidence,LU,2024-11-03,3,quantile,0.55,733.009703173993,2024-10-23
ILI incidence,LU,2024-11-10,4,quantile,0.55,961.7699111402712,2024-10-23
ILI incidence,LU,2024-10-20,1,quantile,0.6,1829.7810610559375,2024-10-23
ILI incidence,LU,2024-10-27,2,quantile,0.6,1218.534111826097,2024-10-23
ILI incidence,LU,2024-11-03,3,quantile,0.6,770.7244594390893,2024-10-23
ILI incidence,LU,2024-11-10,4,quantile,0.6,1015.4352571790085,2024-10-23
ILI incidence,LU,2024-10-20,1,quantile,0.65,1860.4461530805004,2024-10-23
ILI incidence,LU,2024-10-27,2,quantile,0.65,1242.0876701834288,2024-10-23
ILI incidence,LU,2024-11-03,3,quantile,0.65,789.0216261808097,2024-10-23
ILI incidence,LU,2024-11-10,4,quantile,0.65,1044.94970665357,2024-10-23
ILI incidence,LU,2024-10-20,1,quantile,0.7,1924.5235030089848,2024-10-23
ILI incidence,LU,2024-10-27,2,quantile,0.7,1301.284818469253,2024-10-23
ILI incidence,LU,2024-11-03,3,quantile,0.7,811.7431547129779,2024-10-23
ILI incidence,LU,2024-11-10,4,quantile,0.7,1069.7411814977563,2024-10-23
ILI incidence,LU,2024-10-20,1,quantile,0.75,2041.5395816594134,2024-10-23
ILI incidence,LU,2024-10-27,2,quantile,0.75,1355.4241994146178,2024-10-23
ILI incidence,LU,2024-11-03,3,quantile,0.75,844.1757563387725,2024-10-23
ILI incidence,LU,2024-11-10,4,quantile,0.75,1078.4283927593765,2024-10-23
ILI incidence,LU,2024-10-20,1,quantile,0.8,2126.4159459552097,2024-10-23
ILI incidence,LU,2024-10-27,2,quantile,0.8,1442.4144109289778,2024-10-23
ILI incidence,LU,2024-11-03,3,quantile,0.8,876.6843848896208,2024-10-23
ILI incidence,LU,2024-11-10,4,quantile,0.8,1119.8645904627328,2024-10-23
ILI incidence,LU,2024-10-20,1,quantile,0.85,2227.5663005206316,2024-10-23
ILI incidence,LU,2024-10-27,2,quantile,0.85,1519.32141095489,2024-10-23
ILI incidence,LU,2024-11-03,3,quantile,0.85,926.3547332205364,2024-10-23
ILI incidence,LU,2024-11-10,4,quantile,0.85,1171.365227354624,2024-10-23
ILI incidence,LU,2024-10-20,1,quantile,0.9,2249.555386481259,2024-10-23
ILI incidence,LU,2024-10-27,2,quantile,0.9,1602.784806557126,2024-10-23
ILI incidence,LU,2024-11-03,3,quantile,0.9,1007.324568167961,2024-10-23
ILI incidence,LU,2024-11-10,4,quantile,0.9,1212.4677607312617,2024-10-23
ILI incidence,LU,2024-10-20,1,quantile,0.95,2306.918274775932,2024-10-23
ILI incidence,LU,2024-10-27,2,quantile,0.95,2101.5331223785024,2024-10-23
ILI incidence,LU,2024-11-03,3,quantile,0.95,1040.8157894766375,2024-10-23
ILI incidence,LU,2024-11-10,4,quantile,0.95,1251.9329326564175,2024-10-23
ILI incidence,LU,2024-10-20,1,quantile,0.975,2893.3654168461744,2024-10-23
ILI incidence,LU,2024-10-27,2,quantile,0.975,2670.1435025994497,2024-10-23
ILI incidence,LU,2024-11-03,3,quantile,0.975,1377.1993000220211,2024-10-23
ILI incidence,LU,2024-11-10,4,quantile,0.975,1306.9683421348607,2024-10-23
ILI incidence,LU,2024-10-20,1,quantile,0.99,3144.0889986363227,2024-10-23
ILI incidence,LU,2024-10-27,2,quantile,0.99,4361.567878574844,2024-10-23
ILI incidence,LU,2024-11-03,3,quantile,0.99,2188.368256090869,2024-10-23
ILI incidence,LU,2024-11-10,4,quantile,0.99,2537.537065843005,2024-10-23
ILI incidence,LU,2024-10-20,1,median,,1736.793333258915,2024-10-23
ILI incidence,LU,2024-10-27,2,median,,1154.6994475481997,2024-10-23
ILI incidence,LU,2024-11-03,3,median,,708.1908279866059,2024-10-23
ILI incidence,LU,2024-11-10,4,median,,939.8835931784487,2024-10-23
ILI incidence,NO,2024-10-20,1,quantile,0.01,14.557186603992042,2024-10-23
ILI incidence,NO,2024-10-27,2,quantile,0.01,14.88526964199394,2024-10-23
ILI incidence,NO,2024-11-03,3,quantile,0.01,14.938920917516015,2024-10-23
ILI incidence,NO,2024-11-10,4,quantile,0.01,14.917887970380688,2024-10-23
ILI incidence,NO,2024-10-20,1,quantile,0.025,14.661988613062066,2024-10-23
ILI incidence,NO,2024-10-27,2,quantile,0.025,15.212837582602663,2024-10-23
ILI incidence,NO,2024-11-03,3,quantile,0.025,15.395021045348205,2024-10-23
ILI incidence,NO,2024-11-10,4,quantile,0.025,15.427514676575429,2024-10-23
ILI incidence,NO,2024-10-20,1,quantile,0.05,14.675248800389495,2024-10-23
ILI incidence,NO,2024-10-27,2,quantile,0.05,15.77747468076374,2024-10-23
ILI incidence,NO,2024-11-03,3,quantile,0.05,15.68940515750715,2024-10-23
ILI incidence,NO,2024-11-10,4,quantile,0.05,18.14611888141361,2024-10-23
ILI incidence,NO,2024-10-20,1,quantile,0.1,16.267192970478323,2024-10-23
ILI incidence,NO,2024-10-27,2,quantile,0.1,18.052343993006126,2024-10-23
ILI incidence,NO,2024-11-03,3,quantile,0.1,16.77965206366319,2024-10-23
ILI incidence,NO,2024-11-10,4,quantile,0.1,18.834449009450967,2024-10-23
ILI incidence,NO,2024-10-20,1,quantile,0.15,18.216068462039672,2024-10-23
ILI incidence,NO,2024-10-27,2,quantile,0.15,19.6184259504341,2024-10-23
ILI incidence,NO,2024-11-03,3,quantile,0.15,18.226717379901487,2024-10-23
ILI incidence,NO,2024-11-10,4,quantile,0.15,19.152693789200782,2024-10-23
ILI incidence,NO,2024-10-20,1,quantile,0.2,18.679117502715435,2024-10-23
ILI incidence,NO,2024-10-27,2,quantile,0.2,19.964807855520313,2024-10-23
ILI incidence,NO,2024-11-03,3,quantile,0.2,18.653408984278972,2024-10-23
ILI incidence,NO,2024-11-10,4,quantile,0.2,19.47530215875471,2024-10-23
ILI incidence,NO,2024-10-20,1,quantile,0.25,19.11048866181163,2024-10-23
ILI incidence,NO,2024-10-27,2,quantile,0.25,20.318482722198556,2024-10-23
ILI incidence,NO,2024-11-03,3,quantile,0.25,19.46683754049548,2024-10-23
ILI incidence,NO,2024-11-10,4,quantile,0.25,19.593128892007453,2024-10-23
ILI incidence,NO,2024-10-20,1,quantile,0.3,19.722273627608384,2024-10-23
ILI incidence,NO,2024-10-27,2,quantile,0.3,20.508867745291724,2024-10-23
ILI incidence,NO,2024-11-03,3,quantile,0.3,20.209101479929277,2024-10-23
ILI incidence,NO,2024-11-10,4,quantile,0.3,20.052690111086484,2024-10-23
ILI incidence,NO,2024-10-20,1,quantile,0.35,19.861765342140124,2024-10-23
ILI incidence,NO,2024-10-27,2,quantile,0.35,20.601787529368288,2024-10-23
ILI incidence,NO,2024-11-03,3,quantile,0.35,20.385935395296414,2024-10-23
ILI incidence,NO,2024-11-10,4,quantile,0.35,20.432738541072876,2024-10-23
