target,location,target_end_date,horizon,output_type,output_type_id,value,origin_date
ARI incidence,BG,2024-11-10,4,quantile,0.4,799.3290599988259,2024-10-23
ARI incidence,BG,2024-10-20,1,quantile,0.45,643.2287212413909,2024-10-23
ARI incidence,BG,2024-10-27,2,quantile,0.45,608.6750219772415,2024-10-23
ARI incidence,BG,2024-11-03,3,quantile,0.45,676.4512003622673,2024-10-23
ARI incidence,BG,2024-11-10,4,quantile,0.45,805.8602245992989,2024-10-23
ARI incidence,BG,2024-10-20,1,quantile,0.5,646.4149924755017,2024-10-23
ARI incidence,BG,2024-10-27,2,quantile,0.5,618.1107710547517,2024-10-23
ARI incidence,BG,2024-11-03,3,quantile,0.5,688.5260806921381,2024-10-23
ARI incidence,BG,2024-11-10,4,quantile,0.5,813.1923230683954,2024-10-23
ARI incidence,BG,2024-10-20,1,quantile,0.55,649.5780063275639,2024-10-23
ARI incidence,BG,2024-10-27,2,quantile,0.55,626.8081467727541,2024-10-23
ARI incidence,BG,2024-11-03,3,quantile,0.55,708.2589339085126,2024-10-23
ARI incidence,BG,2024-11-10,4,quantile,0.55,820.0562026892648,2024-10-23
ARI incidence,BG,2024-10-20,1,quantile,0.6,653.4132225263414,2024-10-23
ARI incidence,BG,2024-10-27,2,quantile,0.6,629.9121161280428,2024-10-23
ARI incidence,BG,2024-11-03,3,quantile,0.6,726.2988267003483,2024-10-23
ARI incidence,BG,2024-11-10,4,quantile,0.6,823.8490443314615,2024-10-23
ARI incidence,BG,2024-10-20,1,quantile,0.65,657.1630088221358,2024-10-23
ARI incidence,BG,2024-10-27,2,quantile,0.65,634.1126343923395,2024-10-23
ARI incidence,BG,2024-11-03,3,quantile,0.65,738.010568767979,2024-10-23
ARI incidence,BG,2024-11-10,4,quantile,0.65,831.7961303062598,2024-10-23
ARI incidence,BG,2024-10-20,1,quantile,0.7,661.450577659333,2024-10-23
ARI incidence,BG,2024-10-27,2,quantile,0.7,637.8516655823814,2024-10-23
ARI incidence,BG,2024-11-03,3,quantile,0.7,741.591016428517,2024-10-23
ARI incidence,BG,2024-11-10,4,quantile,0.7,845.0261433742177,2024-10-23
ARI incidence,BG,2024-10-20,1,quantile,0.75,665.6353155774882,2024-10-23
ARI incidence,BG,2024-10-27,2,quantile,0.75,643.309637265904,2024-10-23
ARI incidence,BG,2024-11-03,3,quantile,0.75,747.5179864558864,2024-10-23
ARI incidence,BG,2024-11-10,4,quantile,0.75,858.1923651239827,2024-10-23
ARI incidence,BG,2024-10-20,1,quantile,0.8,670.3821149065776,2024-10-23
ARI incidence,BG,2024-10-27,2,quantile,0.8,648.2648963091474,2024-10-23
ARI incidence,BG,2024-11-03,3,quantile,0.8,756.7325725117879,2024-10-23
ARI incidence,BG,2024-11-10,4,quantile,0.8,867.1117036465492,2024-10-23
ARI incidence,BG,2024-10-20,1,quantile,0.85,674.830819052969,2024-10-23
ARI incidence,BG,2024-10-27,2,quantile,0.85,657.1861286027469,2024-10-23
ARI incidence,BG,2024-11-03,3,quantile,0.85,766.3015292902452,2024-10-23
ARI incidence,BG,2024-11-10,4,quantile,0.85,871.1544297876637,2024-10-23
ARI incidence,BG,2024-10-20,1,quantile,0.9,679.7788328448405,2024-10-23
ARI incidence,BG,2024-10-27,2,quantile,0.9,677.8785136734188,2024-10-23
ARI incidence,BG,2024-11-03,3,quantile,0.9,778.311507611931,2024-10-23
ARI incidence,BG,2024-11-10,4,quantile,0.9,874.9890033628818,2024-10-23
ARI incidence,BG,2024-10-20,1,quantile,0.95,700.9790106647978,2024-10-23
ARI incidence,BG,2024-10-27,2,quantile,0.95,744.3560946929613,2024-10-23
ARI incidence,BG,2024-11-03,3,quantile,0.95,817.7653609234363,2024-10-23
ARI incidence,BG,2024-11-10,4,quantile,0.95,884.1584319840334,2024-10-23
ARI incidence,BG,2024-10-20,1,quantile,0.975,727.5551938876828,2024-10-23
ARI incidence,BG,2024-10-27,2,quantile,0.975,821.3487814415456,2024-10-23
ARI incidence,BG,2024-11-03,3,quantile,0.975,890.8617826703412,2024-10-23
ARI incidence,BG,2024-11-10,4,quantile,0.975,892.5894487952069,2024-10-23
ARI incidence,BG,2024-10-20,1,quantile,0.99,775.7147072756883,2024-10-23
ARI incidence,BG,2024-10-27,2,quantile,0.99,833.982524218654,2024-10-23
