target,location,target_end_date,horizon,output_type,output_type_id,value,origin_date
ILI incidence,DK,2024-10-20,1,quantile,0.15,114.6690806672495,2024-10-23
ILI incidence,DK,2024-10-27,2,quantile,0.15,108.96061850762557,2024-10-23
ILI incidence,DK,2024-11-03,3,quantile,0.15,102.4469821033773,2024-10-23
ILI incidence,DK,2024-11-10,4,quantile,0.15,118.46883781150105,2024-10-23
ILI incidence,DK,2024-10-20,1,quantile,0.2,120.09388594943243,2024-10-23
ILI incidence,DK,2024-10-27,2,quantile,0.2,111.53265849071136,2024-10-23
ILI incidence,DK,2024-11-03,3,quantile,0.2,105.39473990265394,2024-10-23
ILI incidence,DK,2024-11-10,4,quantile,0.2,120.04231463034034,2024-10-23
ILI incidence,DK,2024-10-20,1,quantile,0.25,124.04249318592112,2024-10-23
ILI incidence,DK,2024-10-27,2,quantile,0.25,116.28020866657593,2024-10-23
ILI incidence,DK,2024-11-03,3,quantile,0.25,107.2749406864453,2024-10-23
ILI incidence,DK,2024-11-10,4,quantile,0.25,127.21905743092714,2024-10-23
ILI incidence,DK,2024-10-20,1,quantile,0.3,127.68327326403917,2024-10-23
ILI incidence,DK,2024-10-27,2,quantile,0.3,116.66525933021809,2024-10-23
ILI incidence,DK,2024-11-03,3,quantile,0.3,107.56030147212,2024-10-23
ILI incidence,DK,2024-11-10,4,quantile,0.3,131.59889470078429,2024-10-23
ILI incidence,DK,2024-10-20,1,quantile,0.35,131.83207837704532,2024-10-23
ILI incidence,DK,2024-10-27,2,quantile,0.35,122.58133502330045,2024-10-23
ILI incidence,DK,2024-11-03,3,quantile,0.35,111.00251683038965,2024-10-23
ILI incidence,DK,2024-11-10,4,quantile,0.35,132.2064036913759,2024-10-23
ILI incidence,DK,2024-10-20,1,quantile,0.4,134.02536365884575,2024-10-23
ILI incidence,DK,2024-10-27,2,quantile,0.4,128.26548350269243,2024-10-23
ILI incidence,DK,2024-11-03,3,quantile,0.4,116.77927858971603,2024-10-23
ILI incidence,DK,2024-11-10,4,quantile,0.4,135.65431228800864,2024-10-23
ILI incidence,DK,2024-10-20,1,quantile,0.45,135.63018841647298,2024-10-23
ILI incidence,DK,2024-10-27,2,quantile,0.45,129.13836448486794,2024-10-23
ILI incidence,DK,2024-11-03,3,quantile,0.45,119.87597066295855,2024-10-23
ILI incidence,DK,2024-11-10,4,quantile,0.45,138.2024512959682,2024-10-23
ILI incidence,DK,2024-10-20,1,quantile,0.5,137.18585445018965,2024-10-23
ILI incidence,DK,2024-10-27,2,quantile,0.5,130.0352393726207,2024-10-23
ILI incidence,DK,2024-11-03,3,quantile,0.5,122.80426497635594,2024-10-23
ILI incidence,DK,2024-11-10,4,quantile,0.5,139.2416973383453,2024-10-23
ILI incidence,DK,2024-10-20,1,quantile,0.55,143.29251029225148,2024-10-23
ILI incidence,DK,2024-10-27,2,quantile,0.55,131.434182001446,2024-10-23
ILI incidence,DK,2024-11-03,3,quantile,0.55,124.46753501354678,2024-10-23
ILI incidence,DK,2024-11-10,4,quantile,0.55,140.4811585259715,2024-10-23
ILI incidence,DK,2024-10-20,1,quantile,0.6,145.06416212443267,2024-10-23
ILI incidence,DK,2024-10-27,2,quantile,0.6,134.32216539565272,2024-10-23
ILI incidence,DK,2024-11-03,3,quantile,0.6,128.0770745611384,2024-10-23
ILI incidence,DK,2024-11-10,4,quantile,0.6,140.84582049465573,2024-10-23
ILI incidence,DK,2024-10-20,1,quantile,0.65,146.58212771252332,2024-10-23
ILI incidence,DK,2024-10-27,2,quantile,0.65,136.3287074800897,2024-10-23
ILI incidence,DK,2024-11-03,3,quantile,0.65,129.60872264365972,2024-10-23
ILI incidence,DK,2024-11-10,4,quantile,0.65,143.2019431455357,2024-10-23
ILI incidence,DK,2024-10-20,1,quantile,0.7,148.46310070893034,2024-10-23
ILI incidence,DK,2024-10-27,2,quantile,0.7,138.21465910512794,2024-10-23
ILI incidence,DK,2024-11-03,3,quantile,0.7,133.3935597834178,2024-10-23
ILI incidence,DK,2024-11-10,4,quantile,0.7,152.00895176980455,2024-10-23
ILI incidence,DK,2024-10-20,1,quantile,0.75,153.69771395959478,2024-10-23
ILI incidence,DK,2024-10-27,2,quantile,0.75,140.1146008368762,2024-10-23
ILI incidence,DK,2024-11-03,3,quantile,0.75,135.64870254487198,2024-10-23
ILI incidence,DK,2024-11-10,4,quantile,0.75,154.18108274331675,2024-10-23
ILI incidence,DK,2024-10-20,1,quantile,0.8,165.8897455578357,2024-10-23
ILI incidence,DK,2024-10-27,2,quantile,0.8,149.31844018538018,2024-10-23
ILI incidence,DK,2024-11-03,3,quantile,0.8,137.00810563612305,2024-10-23
ILI incidence,DK,2024-11-10,4,quantile,0.8,154.6642651091624,2024-10-23
ILI incidence,DK,2024-10-20,1,quantile,0.85,171.61780825480855,2024-10-23
ILI incidence,DK,2024-10-27,2,quantile,0.85,156.80373647013968,2024-10-23
ILI incidence,DK,2024-11-03,3,quantile,0.85,141.42101484296984,2024-10-23
ILI incidence,DK,2024-11-10,4,quantile,0.85,155.33550316611831,2024-10-23
ILI incidence,DK,2024-10-20,1,quantile,0.9,175.30016033908112,2024-10-23
ILI incidence,DK,2024-10-27,2,quantile,0.9,160.13571494231147,2024-10-23
ILI incidence,DK,2024-11-03,3,quantile,0.9,149.20129078585273,2024-10-23
ILI incidence,DK,2024-11-10,4,quantile,0.9,156.8883565971164,2024-10-23
ILI incidence,DK,2024-10-20,1,quantile,0.95,178.49396275457684,2024-10-23
ILI incidence,DK,2024-10-27,2,quantile,0.95,164.81156595969352,2024-10-23
ILI incidence,DK,2024-11-03,3,quantile,0.95,164.56139168247392,2024-10-23
ILI incidence,DK,2024-11-10,4,quantile,0.95,160.7664873731506,2024-10-23
ILI incidence,DK,2024-10-20,1,quantile,0.975,182.58796932378633,2024-10-23
ILI incidence,DK,2024-10-27,2,quantile,0.975,171.29630621893762,2024-10-23
ILI incidence,DK,2024-11-03,3,quantile,0.975,177.62882763981406,2024-10-23
ILI incidence,DK,2024-11-10,4,quantile,0.975,164.03793247087535,2024-10-23
ILI incidence,DK,2024-10-20,1,quantile,0.99,185.90535175766152,2024-10-23
ILI incidence,DK,2024-10-27,2,quantile,0.99,188.09933694470467,2024-10-23
ILI incidence,DK,2024-11-03,3,quantile,0.99,181.35704433023264,2024-10-23
ILI incidence,DK,2024-11-10,4,quantile,0.99,192.46828699694012,2024-10-23
ILI incidence,DK,2024-10-20,1,median,,137.18585445018965,2024-10-23
ILI incidence,DK,2024-10-27,2,median,,130.0352393726207,2024-10-23
ILI incidence,DK,2024-11-03,3,median,,122.80426497635594,2024-10-23
ILI incidence,DK,2024-11-10,4,median,,139.2416973383453,2024-10-23
ILI incidence,FR,2024-10-20,1,quantile,0.01,39.90445196411849,2024-10-23
ILI incidence,FR,2024-10-27,2,quantile,0.01,47.51864479054242,2024-10-23
ILI incidence,FR,2024-11-03,3,quantile,0.01,49.39110333544508,2024-10-23
ILI incidence,FR,2024-11-10,4,quantile,0.01,61.070464378755624,2024-10-23
ILI incidence,FR,2024-10-20,1,quantile,0.025,49.113643985874425,2024-10-23
ILI incidence,FR,2024-10-27,2,quantile,0.025,59.48668248015576,2024-10-23
ILI incidence,FR,2024-11-03,3,quantile,0.025,63.42962297194636,2024-10-23
ILI incidence,FR,2024-11-10,4,quantile,0.025,67.64919973140186,2024-10-23
ILI incidence,FR,2024-10-20,1,quantile,0.05,59.05479866618179,2024-10-23
