target,location,target_end_date,horizon,output_type,output_type_id,value,origin_date
ARI incidence,BE,2024-10-20,1,quantile,0.15,1063.122468372404,2024-10-23
ARI incidence,BE,2024-10-27,2,quantile,0.15,1038.3535388246896,2024-10-23
ARI incidence,BE,2024-11-03,3,quantile,0.15,986.6875730929202,2024-10-23
ARI incidence,BE,2024-11-10,4,quantile,0.15,933.8885195200681,2024-10-23
ARI incidence,BE,2024-10-20,1,quantile,0.2,1109.9883368152618,2024-10-23
ARI incidence,BE,2024-10-27,2,quantile,0.2,1075.4637454608642,2024-10-23
ARI incidence,BE,2024-11-03,3,quantile,0.2,1038.128759916865,2024-10-23
ARI incidence,BE,2024-11-10,4,quantile,0.2,966.310849168744,2024-10-23
ARI incidence,BE,2024-10-20,1,quantile,0.25,1160.747020366504,2024-10-23
ARI incidence,BE,2024-10-27,2,quantile,0.25,1117.8025719784446,2024-10-23
ARI incidence,BE,2024-11-03,3,quantile,0.25,1090.1484477888746,2024-10-23
ARI incidence,BE,2024-11-10,4,quantile,0.25,1007.2782961570776,2024-10-23
ARI incidence,BE,2024-10-20,1,quantile,0.3,1205.8505730894797,2024-10-23
ARI incidence,BE,2024-10-27,2,quantile,0.3,1155.9823039008343,2024-10-23
ARI incidence,BE,2024-11-03,3,quantile,0.3,1126.563381323032,2024-10-23
ARI incidence,BE,2024-11-10,4,quantile,0.3,1049.7882981585963,2024-10-23
ARI incidence,BE,2024-10-20,1,quantile,0.35,1240.8769298994237,2024-10-23
ARI incidence,BE,2024-10-27,2,quantile,0.35,1188.6436451480427,2024-10-23
ARI incidence,BE,2024-11-03,3,quantile,0.35,1162.0928427130455,2024-10-23
ARI incidence,BE,2024-11-10,4,quantile,0.35,1087.7485469464607,2024-10-23
ARI incidence,BE,2024-10-20,1,quantile,0.4,1281.2855113103628,2024-10-23
ARI incidence,BE,2024-10-27,2,quantile,0.4,1227.2326052139647,2024-10-23
ARI incidence,BE,2024-11-03,3,quantile,0.4,1198.691590710288,2024-10-23
ARI incidence,BE,2024-11-10,4,quantile,0.4,1122.8416949703092,2024-10-23
ARI incidence,BE,2024-10-20,1,quantile,0.45,1317.8833229122056,2024-10-23
ARI incidence,BE,2024-10-27,2,quantile,0.45,1263.6805106840234,2024-10-23
ARI incidence,BE,2024-11-03,3,quantile,0.45,1239.3757134355374,2024-10-23
ARI incidence,BE,2024-11-10,4,quantile,0.45,1152.135964199942,2024-10-23
ARI incidence,BE,2024-10-20,1,quantile,0.5,1355.1823454367634,2024-10-23
ARI incidence,BE,2024-10-27,2,quantile,0.5,1302.9521827900633,2024-10-23
ARI incidence,BE,2024-11-03,3,quantile,0.5,1276.0852280014938,2024-10-23
ARI incidence,BE,2024-11-10,4,quantile,0.5,1187.8610477982786,2024-10-23
ARI incidence,BE,2024-10-20,1,quantile,0.55,1381.6825749348184,2024-10-23
ARI incidence,BE,2024-10-27,2,quantile,0.55,1338.1897949776744,2024-10-23
ARI incidence,BE,2024-11-03,3,quantile,0.55,1317.8226739365884,2024-10-23
ARI incidence,BE,2024-11-10,4,quantile,0.55,1218.726716969777,2024-10-23
ARI incidence,BE,2024-10-20,1,quantile,0.6,1418.7966120094625,2024-10-23
ARI incidence,BE,2024-10-27,2,quantile,0.6,1380.2864327259688,2024-10-23
ARI incidence,BE,2024-11-03,3,quantile,0.6,1360.798457420306,2024-10-23
ARI incidence,BE,2024-11-10,4,quantile,0.6,1251.087777618684,2024-10-23
ARI incidence,BE,2024-10-20,1,quantile,0.65,1458.6322183258517,2024-10-23
ARI incidence,BE,2024-10-27,2,quantile,0.65,1426.6818492977786,2024-10-23
ARI incidence,BE,2024-11-03,3,quantile,0.65,1399.288004315317,2024-10-23
ARI incidence,BE,2024-11-10,4,quantile,0.65,1298.2016846071579,2024-10-23
ARI incidence,BE,2024-10-20,1,quantile,0.7,1510.2646298489885,2024-10-23
ARI incidence,BE,2024-10-27,2,quantile,0.7,1470.4931968468293,2024-10-23
ARI incidence,BE,2024-11-03,3,quantile,0.7,1442.3526289140318,2024-10-23
ARI incidence,BE,2024-11-10,4,quantile,0.7,1330.6264806535028,2024-10-23
ARI incidence,BE,2024-10-20,1,quantile,0.75,1564.9806620463921,2024-10-23
ARI incidence,BE,2024-10-27,2,quantile,0.75,1532.6826537764218,2024-10-23
ARI incidence,BE,2024-11-03,3,quantile,0.75,1500.7569002927435,2024-10-23
ARI incidence,BE,2024-11-10,4,quantile,0.75,1373.1698094054223,2024-10-23
ARI incidence,BE,2024-10-20,1,quantile,0.8,1631.7244686315885,2024-10-23
ARI incidence,BE,2024-10-27,2,quantile,0.8,1596.4602564342817,2024-10-23
ARI incidence,BE,2024-11-03,3,quantile,0.8,1563.3318204118577,2024-10-23
ARI incidence,BE,2024-11-10,4,quantile,0.8,1442.2064198437083,2024-10-23
ARI incidence,BE,2024-10-20,1,quantile,0.85,1704.1745571304925,2024-10-23
ARI incidence,BE,2024-10-27,2,quantile,0.85,1653.295787079147,2024-10-23
ARI incidence,BE,2024-11-03,3,quantile,0.85,1630.3822336739652,2024-10-23
ARI incidence,BE,2024-11-10,4,quantile,0.85,1506.1231898989802,2024-10-23
ARI incidence,BE,2024-10-20,1,quantile,0.9,1850.5936893221985,2024-10-23
ARI incidence,BE,2024-10-27,2,quantile,0.9,1735.930497986537,2024-10-23
ARI incidence,BE,2024-11-03,3,quantile,0.9,1724.4430090232595,2024-10-23
ARI incidence,BE,2024-11-10,4,quantile,0.9,1569.7334845408107,2024-10-23
ARI incidence,BE,2024-10-20,1,quantile,0.95,2003.7904087004188,2024-10-23
ARI incidence,BE,2024-10-27,2,quantile,0.95,1907.2125802864753,2024-10-23
ARI incidence,BE,2024-11-03,3,quantile,0.95,1856.8141477607853,2024-10-23
ARI incidence,BE,2024-11-10,4,quantile,0.95,1721.8244093875337,2024-10-23
ARI incidence,BE,2024-10-20,1,quantile,0.975,2123.807591539072,2024-10-23
ARI incidence,BE,2024-10-27,2,quantile,0.975,2079.627840147733,2024-10-23
ARI incidence,BE,2024-11-03,3,quantile,0.975,1990.4557771345194,2024-10-23
ARI incidence,BE,2024-11-10,4,quantile,0.975,1832.327928651334,2024-10-23
ARI incidence,BE,2024-10-20,1,quantile,0.99,2261.988879157196,2024-10-23
ARI incidence,BE,2024-10-27,2,quantile,0.99,2208.193047095734,2024-10-23
ARI incidence,BE,2024-11-03,3,quantile,0.99,2144.0349903087226,2024-10-23
ARI incidence,BE,2024-11-10,4,quantile,0.99,1991.5520042696353,2024-10-23
ARI incidence,BE,2024-10-20,1,median,,1355.1823454367634,2024-10-23
ARI incidence,BE,2024-10-27,2,median,,1302.9521827900633,2024-10-23
ARI incidence,BE,2024-11-03,3,median,,1276.0852280014938,2024-10-23
ARI incidence,BE,2024-11-10,4,median,,1187.8610477982786,2024-10-23
ARI incidence,BG,2024-10-20,1,quantile,0.01,350.2995722964544,2024-10-23
ARI incidence,BG,2024-10-27,2,quantile,0.01,369.16178301921445,2024-10-23
ARI incidence,BG,2024-11-03,3,quantile,0.01,425.2581172678299,2024-10-23
ARI incidence,BG,2024-11-10,4,quantile,0.01,565.5009140383664,2024-10-23
ARI incidence,BG,2024-10-20,1,quantile,0.025,407.05716116294167,2024-10-23
ARI incidence,BG,2024-10-27,2,quantile,0.025,404.9274588962557,2024-10-23
ARI incidence,BG,2024-11-03,3,quantile,0.025,482.72119263169947,2024-10-23
ARI incidence,BG,2024-11-10,4,quantile,0.025,612.3653525329386,2024-10-23
ARI incidence,BG,2024-10-20,1,quantile,0.05,449.02387415977506,2024-10-23
ARI incidence,BG,2024-10-27,2,quantile,0.05,467.379470356433,2024-10-23
ARI incidence,BG,2024-11-03,3,quantile,0.05,523.5993316270044,2024-10-23
ARI incidence,BG,2024-11-10,4,quantile,0.05,660.8732903305896,2024-10-23
ARI incidence,BG,2024-10-20,1,quantile,0.1,495.29031328231247,2024-10-23
ARI incidence,BG,2024-10-27,2,quantile,0.1,519.3976699212692,2024-10-23
ARI incidence,BG,2024-11-03,3,quantile,0.1,597.9361436932688,2024-10-23
ARI incidence,BG,2024-11-10,4,quantile,0.1,726.6688534557874,2024-10-23
ARI incidence,BG,2024-10-20,1,quantile,0.15,535.3665761177688,2024-10-23
ARI incidence,BG,2024-10-27,2,quantile,0.15,563.9875987784187,2024-10-23
ARI incidence,BG,2024-11-03,3,quantile,0.15,649.3245999432812,2024-10-23
ARI incidence,BG,2024-11-10,4,quantile,0.15,784.4671461915689,2024-10-23
ARI incidence,BG,2024-10-20,1,quantile,0.2,562.9579073954957,2024-10-23
ARI incidence,BG,2024-10-27,2,quantile,0.2,598.8872049189129,2024-10-23
ARI incidence,BG,2024-11-03,3,quantile,0.2,693.8129126050121,2024-10-23
ARI incidence,BG,2024-11-10,4,quantile,0.2,838.4890337188801,2024-10-23
ARI incidence,BG,2024-10-20,1,quantile,0.25,599.6368338256113,2024-10-23
ARI incidence,BG,2024-10-27,2,quantile,0.25,630.2704657310911,2024-10-23
ARI incidence,BG,2024-11-03,3,quantile,0.25,733.0079057202589,2024-10-23
ARI incidence,BG,2024-11-10,4,quantile,0.25,881.3237060285347,2024-10-23
ARI incidence,BG,2024-10-20,1,quantile,0.3,622.8140290906829,2024-10-23
ARI incidence,BG,2024-10-27,2,quantile,0.3,668.2064569939395,2024-10-23
ARI incidence,BG,2024-11-03,3,quantile,0.3,770.8641021779041,2024-10-23
ARI incidence,BG,2024-11-10,4,quantile,0.3,917.4373347179878,2024-10-23
ARI incidence,BG,2024-10-20,1,quantile,0.35,655.272497438735,2024-10-23
ARI incidence,BG,2024-10-27,2,quantile,0.35,698.6957217936135,2024-10-23
ARI incidence,BG,2024-11-03,3,quantile,0.35,805.9709619666238,2024-10-23
ARI incidence,BG,2024-11-10,4,quantile,0.35,949.3375569885131,2024-10-23
ARI incidence,BG,2024-10-20,1,quantile,0.4,687.5699159277743,2024-10-23
ARI incidence,BG,2024-10-27,2,quantile,0.4,728.8829433060337,2024-10-23
ARI incidence,BG,2024-11-03,3,quantile,0.4,839.0767048108447,2024-10-23
ARI incidence,BG,2024-11-10,4,quantile,0.4,982.6965218741475,2024-10-23
